slug,title,topic,difficulty,audience,status,notes
angry-professor,Angry Professor,implementation,E,general,authored,
apple-and-orange,Apple and Orange,implementation,E,general,authored,
beautiful-days-at-the-movies,Beautiful Days at the Movies,implementation,E,general,authored,
cats-and-a-mouse,Cats and a Mouse,implementation,E,general,authored,
circular-array-rotation,Circular Array Rotation,implementation,E,general,authored,
counting-valleys,Counting Valleys,implementation,E,general,authored,spreadsheet history records H; kept per record with needs_review
cut-the-sticks,Cut the sticks,implementation,E,general,authored,
day-of-the-programmer,Day of the Programmer,implementation,E,general,authored,
designer-pdf-viewer,Designer PDF Viewer,implementation,E,general,authored,
divisible-sum-pairs,Divisible Sum Pairs,implementation,E,general,authored,
drawing-book,Drawing Book ,implementation,E,general,authored,
halloween-sale,Halloween Sale,implementation,E,general,authored,
jumping-on-the-clouds,Jumping on the Clouds,implementation,E,general,authored,
migratory-birds,Migratory Birds,implementation,E,general,authored,
kangaroo,Number Line Jumps,implementation,E,general,authored,
sock-merchant,Sales by Match,implementation,E,general,authored,
save-the-prisoner,Save the Prisoner!,implementation,E,general,authored,authored as save-the-prisoner
sherlock-and-squares,Sherlock and Squares,implementation,E,general,authored,
bigger-is-greater,Bigger is Greater,implementation,M,general,authored,spreadsheet history records H; kept per record
climbing-the-leaderboard,Climbing the Leaderboard,implementation,M,general,authored,spreadsheet history records E for Advanced; kept per record
encryption,Encryption,implementation,M,general,authored,
morgan-and-a-string,Morgan and a String,strings,H,advanced,authored,catalog tier Expert
a-very-big-sum,A Very Big Sum,warmup,E,general,authored,
mini-max-sum,Mini-Max Sum,warmup,E,general,authored,
simple-array-sum,Simple Array Sum,warmup,E,general,authored,
solve-me-first,Solve Me First,warmup,E,general,authored,
an-interesting-game-1,Gaming Array,constructive-algorithms,M,general,authored,spreadsheet history also records H
bon-appetit,Bill Division,implementation,E,general,authored,
larrys-array,Larry's Array,implementation,M,general,authored,spreadsheet history records H; kept per record
icecream-parlor,Ice Cream Parlor,search,E,general,authored,spreadsheet history also records M
gena,Gena Playing Hanoi,search,M,general,authored,spreadsheet history records H; kept per record
swap-case,sWAP cASE,strings,E,general,authored,spreadsheet history records M; kept per record; not in the current catalog index
flipping-bits,Flipping bits,bit-manipulation,E,general,planned,
lonely-integer,Lonely Integer,bit-manipulation,E,general,planned,
maximizing-xor,Maximizing XOR,bit-manipulation,E,general,planned,
sum-vs-xor,Sum vs XOR,bit-manipulation,E,general,planned,
2s-complement,2's complement,bit-manipulation,H,advanced,planned,catalog tier Advanced
changing-bits,Changing Bits,bit-manipulation,H,advanced,planned,catalog tier Advanced
hamming-distance,Hamming Distance,bit-manipulation,H,advanced,planned,catalog tier Expert
iterate-it,Iterate It,bit-manipulation,H,advanced,planned,catalog tier Expert
manipulative-numbers,Manipulative Numbers,bit-manipulation,H,general,planned,
maximizing-the-function,Maximizing the Function ,bit-manipulation,H,general,planned,
pmix,Mixing proteins,bit-manipulation,H,general,planned,
stonegame,Stone Game,bit-manipulation,H,general,planned,
string-transmission,String Transmission,bit-manipulation,H,general,planned,
xor-matrix,XOR Matrix,bit-manipulation,H,general,planned,
xor-subsequence,XOR Subsequences,bit-manipulation,H,advanced,planned,catalog tier Advanced
xor-key,XOR key,bit-manipulation,H,advanced,planned,catalog tier Advanced
xoring-ninja,Xoring Ninja,bit-manipulation,H,general,planned,
aorb,A or B,bit-manipulation,M,general,planned,
and-product,AND Product,bit-manipulation,M,general,planned,
cipher,Cipher,bit-manipulation,M,general,planned,
counter-game,Counter game,bit-manipulation,M,general,planned,
sansa-and-xor,Sansa and XOR,bit-manipulation,M,general,planned,
the-great-xor,The Great XOR,bit-manipulation,M,general,planned,
whats-next,What's Next?,bit-manipulation,M,general,planned,
winning-lottery-ticket,Winning Lottery Ticket,bit-manipulation,M,general,planned,
xor-se,Xor-sequence,bit-manipulation,M,general,planned,
yet-another-minimax-problem,Yet Another Minimax Problem,bit-manipulation,M,general,planned,
array-construction,Array Construction,constructive-algorithms,H,advanced,planned,catalog tier Advanced
beautiful-3-set,Beautiful 3 Set,constructive-algorithms,H,general,planned,
inverse-rmq,Inverse RMQ,constructive-algorithms,H,general,planned,
lovely-triplets,Lovely Triplets,constructive-algorithms,H,advanced,planned,catalog tier Advanced
two-subarrays,Two Subarrays,constructive-algorithms,H,advanced,planned,catalog tier Expert
